Timestamp,I am 18+ and I consent to anonymous data collection for academic purposes only.,Country/Region,Primary role,Age (years),Gender (optional),Which wellness/mental health apps have you used in the last 6 months? (select all that apply),How often do you journal?,How often do you chat with an AI companion for support?,Typical journaling session length (minutes),How often do you journal late at night (after 11pm)?,Average sleep hours per night (past 2 weeks),Average number of meetings/classes per day (past 2 weeks),How many deadlines/exams in the next 7 days?,"In the last 2 weeks, how often did you feel overwhelmed?","In the last 2 weeks, how often did you feel things were going your way? (reverse-scored)","In the last 2 weeks, how often did you feel confident about handling personal problems? (reverse-scored)","In the last 2 weeks, how often did you feel difficulties were piling up too high?",Overall mood today,Which emotions did you often experience in the last week? (select all that apply),I am concerned about privacy of my journals.,I prefer on-device processing even if features are limited.,I am okay with personalized nudges if they help my wellbeing.,I am willing to share anonymized analytics for research.,What would you want from a wellbeing companion? (open text),Any concerns about such apps? (open text)
08/23/2025 09:26:00,Agree,India,Working Professional,47,Male,"Daylio, Moodpath, Replika, None",Always,Daily,1-5,Rarely,10 hours,0,6+,Never,Weekly,Daily,Always,Negative,"Sadness, Anxiety, Hopeful, Excited, Lonely",Agree,Disagree,Strongly disagree,Strongly disagree,Professional support integration,Stigma around mental health apps
08/24/2025 17:29:00,Agree,India,Student,61,Male,"MindDoc, Wysa, Stoic, Sanvello, Replika, Daylio, Reflectly, MindShift, None, Insight Timer, Moodpath, Youper, Jour, Headspace",Daily,Daily,1-5,Always,10 hours,1-2,1,Rarely,Rarely,Always,Never,Negative,"Calm, Tired, Sadness, Joy, Lonely",Strongly agree,Neutral,Disagree,Disagree,Better UI/UX,Addiction to apps
08/23/2025 06:26:00,Agree,India,Teacher,64,Male,"Moodpath, Headspace, MindDoc, Jour, Reflectly, Insight Timer, Daylio, Wysa, Sanvello",Rarely,Always,30+,2-3x/week,5 hours,3-4,5,Never,Never,Rarely,2-3x/week,Negative,"Calm, Anxiety, Anger, Overwhelmed, Excited",Agree,Strongly disagree,Strongly agree,Neutral,Progress tracking,None
08/21/2025 18:16:00,Agree,India,Other,18,Female,"None, Headspace, Wysa, Daylio, Sanvello, Youper, Replika, Jour, Insight Timer, Moodpath",Always,Rarely,11-15,2-3x/week,8 hour sleep,5-6,5,Daily,Weekly,Sometimes,Sometimes,Positive,"Lonely, Anxiety, Sadness",Disagree,Disagree,Strongly disagree,Neutral,Integration with other apps,None
08/24/2025 20:58:00,Agree,India,Teacher,54,Prefer not to say,Stoic,Always,Rarely,1-5,Always,8 hour sleep,1-2,5,Rarely,Always,2-3x/week,Always,Negative,"Overwhelmed, Grateful, Frustrated",Strongly disagree,Neutral,Agree,Agree,Voice input,Technical issues
08/24/2025 15:51:00,Agree,India,Teacher,34,Male,"Insight Timer, MindShift",Sometimes,2-3x/week,1-5,Never,4 hours,5-6,5,Never,Daily,Always,Never,Negative,"Grateful, Joy, Frustrated",Neutral,Agree,Strongly disagree,Strongly agree,Professional support integration,Lack of human connection
08/22/2025 03:27:00,Agree,India,Student,26,Male,"Headspace, Replika, Youper, Jour, Calm, Stoic, Insight Timer, Wysa, MindDoc, Daylio, Moodpath, Sanvello, MindShift, None",Weekly,Weekly,16-20,Rarely,10+ hours,9+,1,Always,Weekly,Daily,Always,Positive,"Anger, Excited",Disagree,Strongly disagree,Disagree,Strongly agree,Professional support integration,Stigma around mental health apps
08/23/2025 08:09:00,Agree,India,Researcher,26,Female,"Wysa, Daylio, Replika, Reflectly, Calm, MindDoc, Sanvello, None, Insight Timer, Jour, Headspace, Moodpath",Always,Always,0,Always,6 hours,9+,0,2-3x/week,Daily,Always,Never,Positive,"Sadness, Hopeful",Strongly agree,Strongly disagree,Disagree,Strongly agree,Offline functionality,None
08/26/2025 08:00:00,Agree,India,Freelancer,51,Female,"Youper, Calm, MindShift, MindDoc, Insight Timer, Wysa, Stoic, Reflectly, None, Replika, Sanvello, Daylio",Always,Weekly,1-5,Never,10 hours,5-6,1,Daily,Always,Always,Always,Neutral,"Sadness, Anxiety",Strongly agree,Agree,Strongly disagree,Neutral,Mood tracking,Stigma around mental health apps
08/26/2025 17:20:00,Agree,India,Healthcare Worker,30,Female,"Wysa, Jour, MindShift, Calm, Stoic, Replika, Daylio, Insight Timer, None, Sanvello",Never,Always,0,Never,10 hours,1-2,6+,2-3x/week,Daily,Always,Weekly,Negative,"Hopeful, Grateful, Anxiety",Disagree,Agree,Neutral,Agree,Mood tracking,Technical issues
08/25/2025 02:21:00,Agree,India,Healthcare Worker,24,Female,"Stoic, Insight Timer, Sanvello, MindShift, Reflectly, Youper",2-3x/week,2-3x/week,6-10,2-3x/week,10 hours,7-8,5,Daily,2-3x/week,Sometimes,Weekly,Negative,"Joy, Sadness, Lonely",Strongly agree,Neutral,Neutral,Strongly disagree,Voice input,Privacy concerns
08/25/2025 03:24:00,Agree,India,Other,35,Non-binary,"Stoic, Replika, Youper, None, Daylio, MindShift, Headspace, Reflectly",Never,Always,11-15,2-3x/week,4 hours,5-6,1,2-3x/week,Never,Sometimes,Never,Negative,"Anger, Grateful, Joy",Disagree,Strongly agree,Neutral,Agree,More personalization,None
08/25/2025 15:15:00,Agree,India,Student,29,Male,"Stoic, Jour, Replika, None",Sometimes,Never,6-10,2-3x/week,9 hours,3-4,4,Sometimes,Daily,2-3x/week,Rarely,Negative,"Joy, Tired, Excited, Sadness, Overwhelmed",Neutral,Agree,Disagree,Agree,More personalization,Addiction to apps
08/25/2025 23:18:00,Agree,India,Student,29,Prefer not to say,"Youper, Stoic",Never,Sometimes,1-5,Sometimes,7 hours,0,4,Never,Daily,Rarely,Never,Positive,"Joy, Grateful, Sadness, Excited",Strongly disagree,Strongly agree,Disagree,Strongly agree,Mood tracking,Over-reliance on AI
08/25/2025 20:10:00,Agree,India,Other,26,Male,"Insight Timer, MindShift, MindDoc",2-3x/week,Always,16-20,Rarely,7 hours,9+,3,Weekly,Rarely,Sometimes,Weekly,Neutral,"Hopeful, Anger, Calm, Grateful",Neutral,Neutral,Strongly disagree,Strongly agree,Better UI/UX,None
