Timestamp,I am 18+ and I consent to anonymous data collection for academic purposes only.,Country/Region,Primary role,Age (years),Gender (optional),Which wellness/mental health apps have you used in the last 6 months? (select all that apply),How often do you journal?,How often do you chat with an AI companion for support?,Typical journaling session length (minutes),How often do you journal late at night (after 11pm)?,Average sleep hours per night (past 2 weeks),Average number of meetings/classes per day (past 2 weeks),How many deadlines/exams in the next 7 days?,"In the last 2 weeks, how often did you feel overwhelmed?","In the last 2 weeks, how often did you feel things were going your way? (reverse-scored)","In the last 2 weeks, how often did you feel confident about handling personal problems? (reverse-scored)","In the last 2 weeks, how often did you feel difficulties were piling up too high?",Overall mood today,Which emotions did you often experience in the last week? (select all that apply),I am concerned about privacy of my journals.,I prefer on-device processing even if features are limited.,I am okay with personalized nudges if they help my wellbeing.,I am willing to share anonymized analytics for research.,What would you want from a wellbeing companion? (open text),Any concerns about such apps? (open text)
08/22/2025 07:39:00,Agree,India,Student,33,Male,"MindShift, Reflectly, Insight Timer, Jour",Sometimes,Always,21-30,Sometimes,6 hours,5-6,1,Daily,Daily,Sometimes,Sometimes,Positive,"Tired, Peaceful",Agree,Strongly agree,Agree,Neutral,Better privacy controls,Privacy concerns
08/23/2025 12:41:00,Agree,India,Working Professional,48,Female,"Moodpath, Youper, Insight Timer, Sanvello, Stoic, MindShift, Jour, None, Daylio, Headspace, MindDoc, Calm, Reflectly",Sometimes,Never,1-5,Weekly,4 hours,5-6,2,Daily,Weekly,2-3x/week,Rarely,Positive,"Tired, Frustrated, Calm, Grateful",Agree,Neutral,Agree,Strongly agree,Community support,AI accuracy
08/21/2025 11:49:00,Agree,India,Working Professional,30,Male,Insight Timer,2-3x/week,Daily,30+,Never,6 hours,7-8,5,Rarely,Always,Rarely,Sometimes,Positive,"Frustrated, Anxiety, Lonely, Peaceful, Calm",Agree,Strongly disagree,Strongly disagree,Strongly agree,More personalization,Other
08/25/2025 09:00:00,Agree,India,Teacher,39,Prefer not to say,Reflectly,Daily,Sometimes,6-10,Sometimes,10+ hours,5-6,5,Daily,Weekly,Weekly,Rarely,Neutral,"Anger, Tired, Lonely, Overwhelmed",Strongly agree,Strongly disagree,Disagree,Strongly disagree,Better AI responses,Over-reliance on AI
08/25/2025 17:59:00,Agree,India,Other,33,Non-binary,"Jour, Insight Timer, Wysa, Headspace, Stoic, None, MindDoc, Sanvello",Rarely,Sometimes,1-5,2-3x/week,6 hours,0,2,2-3x/week,Never,Always,Always,Positive,"Overwhelmed, Peaceful, Anger, Tired, Lonely",Agree,Agree,Strongly agree,Disagree,Professional support integration,Stigma around mental health apps
08/25/2025 10:20:00,Agree,India,Teacher,23,Female,Youper,Sometimes,Weekly,30+,Always,10 hours,1-2,1,2-3x/week,Sometimes,2-3x/week,Always,Neutral,"Grateful, Anxiety, Calm",Neutral,Strongly agree,Disagree,Neutral,More personalization,Cost
08/22/2025 06:12:00,Agree,India,Freelancer,37,Female,"None, Jour, Youper, Headspace, Insight Timer, MindDoc, MindShift, Moodpath, Wysa, Sanvello, Replika, Daylio, Calm, Reflectly, Stoic",Sometimes,Sometimes,16-20,Rarely,10+ hours,3-4,4,Weekly,2-3x/week,Sometimes,Weekly,Neutral,"Anger, Hopeful, Lonely, Calm, Joy",Neutral,Agree,Agree,Strongly agree,Community support,Over-reliance on AI
08/26/2025 04:00:00,Agree,India,Freelancer,45,Female,"Jour, Sanvello, Wysa, Calm, Moodpath, MindDoc, MindShift",Rarely,Sometimes,1-5,Daily,5 hours,5-6,1,Weekly,Weekly,Daily,Always,Negative,"Hopeful, Anxiety",Disagree,Disagree,Strongly agree,Strongly agree,Better AI responses,Addiction to apps
08/26/2025 09:42:00,Agree,India,Teacher,43,Non-binary,"Moodpath, None, Reflectly, Calm, Jour, Youper",Weekly,Sometimes,1-5,Daily,8 hour sleep,0,1,Rarely,Always,2-3x/week,Sometimes,Negative,"Grateful, Hopeful, Stressed",Strongly disagree,Agree,Neutral,Agree,Integration with other apps,Privacy concerns
08/25/2025 05:24:00,Agree,India,Freelancer,49,Non-binary,"Stoic, MindShift, Replika, Youper, Jour, Insight Timer, None, Calm, Reflectly, Sanvello, Wysa",Daily,Daily,16-20,Daily,9 hours,0,4,Sometimes,Sometimes,Daily,Rarely,Positive,"Grateful, Anxiety, Tired",Neutral,Neutral,Neutral,Neutral,Better AI responses,Other
